datetime,busvoltage
2001:03:29 03:00:00 ,32.45308983
2001:03:29 06:00:00 ,32.45711083
2001:03:29 09:00:00 ,32.45088795
2001:03:29 12:00:00 ,32.45464972
2001:03:29 15:00:00 ,32.45400811
2001:03:29 18:00:00 ,32.45673861
2001:03:29 21:00:00 ,32.44793861
2001:03:30 00:00:00 ,32.45303371
2001:03:30 03:00:00 ,32.45324417
2001:03:30 06:00:00 ,32.46377705
2001:03:30 09:00:00 ,32.45595528
2001:03:30 12:00:00 ,32.45648305
2001:03:30 15:00:00 ,32.46061083
2001:03:30 18:00:00 ,32.47084819
2001:03:30 21:00:00 ,32.45155108
2001:03:31 00:00:00 ,32.45069417
2001:03:31 03:00:00 ,32.45966083
2001:03:31 06:00:00 ,32.45418524
2001:03:31 09:00:00 ,32.44693315
2001:03:31 12:00:00 ,32.45029492
2001:03:31 15:00:00 ,32.44250528
2001:03:31 18:00:00 ,32.5071275
2001:03:31 21:00:00 ,32.58587287
2001:04:01 00:00:00 ,32.62055527
2001:04:01 03:00:00 ,32.63993917
2001:04:01 06:00:00 ,32.59051639
2001:04:01 09:00:00 ,32.61617288
2001:04:01 12:00:00 ,32.59876639
2001:04:01 15:00:00 ,32.60312194
2001:04:01 18:00:00 ,32.63144688
2001:04:01 21:00:00 ,32.61058861
2001:04:02 00:00:00 ,32.59523352
2001:04:02 03:00:00 ,32.58774416
2001:04:02 06:00:00 ,32.60555527
2001:04:02 09:00:00 ,32.6208832
2001:04:02 12:00:00 ,32.61812194
2001:04:02 15:00:00 ,32.54029972
2001:04:02 18:00:00 ,32.59512192
2001:04:02 21:00:00 ,32.61096083
2001:04:03 00:00:00 ,32.61378192
2001:04:03 03:00:00 ,32.61312194
2001:04:03 06:00:00 ,32.61450095
2001:04:03 09:00:00 ,32.59891083
2001:04:03 12:00:00 ,32.62043861
2001:04:03 15:00:00 ,32.59968729
2001:04:03 18:00:00 ,32.61916638
2001:04:03 21:00:00 ,32.63081105
2001:04:04 00:00:00 ,32.59203861
2001:04:04 03:00:00 ,32.60358861
2001:04:04 06:00:00 ,32.59715918
2001:04:04 09:00:00 ,32.60103861
2001:04:04 12:00:00 ,32.60860505
2001:04:04 15:00:00 ,32.60088861
2001:04:04 18:00:00 ,32.61328305
2001:04:04 21:00:00 ,32.63725846
2001:04:05 00:00:00 ,32.62388305
2001:04:05 03:00:00 ,32.6090555
2001:04:05 06:00:00 ,32.59559416
2001:04:05 09:00:00 ,32.60637659
2001:04:05 12:00:00 ,32.6079275
2001:04:05 15:00:00 ,32.63059972
2001:04:05 18:00:00 ,32.61835199
2001:04:05 21:00:00 ,32.60864972
2001:04:06 00:00:00 ,32.58079141
2001:04:06 03:00:00 ,32.60579416
2001:04:06 06:00:00 ,32.62434972
2001:04:06 09:00:00 ,32.63047819
2001:04:06 12:00:00 ,32.64334138
2001:04:06 15:00:00 ,32.60448701
2001:04:06 18:00:00 ,32.58881639
2001:04:06 21:00:00 ,32.59963861
2001:04:07 00:00:00 ,32.59042918
2001:04:07 03:00:00 ,32.61560976
2001:04:07 06:00:00 ,32.61554739
2001:04:07 09:00:00 ,32.60929416
2001:04:07 12:00:00 ,32.60351083
2001:04:07 15:00:00 ,32.60742913
2001:04:07 18:00:00 ,32.6033275
2001:04:07 21:00:00 ,32.61049645
2001:04:08 00:00:00 ,32.59503861
2001:04:08 03:00:00 ,32.59170601
2001:04:08 06:00:00 ,32.58568638
2001:04:08 09:00:00 ,32.58246083
2001:04:08 12:00:00 ,32.58451721
2001:04:08 15:00:00 ,32.59003305
2001:04:08 18:00:00 ,32.57413161
2001:04:08 21:00:00 ,32.58366706
2001:04:09 00:00:00 ,32.58242194
2001:04:09 03:00:00 ,32.58786451
2001:04:09 06:00:00 ,32.56501083
2001:04:09 09:00:00 ,32.56776083
2001:04:09 12:00:00 ,32.57677232
2001:04:09 15:00:00 ,32.56934416
2001:04:09 18:00:00 ,32.57379443
2001:04:09 21:00:00 ,32.56194575
2001:04:10 00:00:00 ,32.5664275
2001:04:10 03:00:00 ,32.58398488
2001:04:10 06:00:00 ,32.58344416
2001:04:10 09:00:00 ,32.58041366
2001:04:10 12:00:00 ,32.58256083
2001:04:10 15:00:00 ,32.58144416
2001:04:10 18:00:00 ,32.58413625
2001:04:10 21:00:00 ,32.58194972
2001:04:11 00:00:00 ,32.57406488
2001:04:11 03:00:00 ,32.57186639
2001:04:11 06:00:00 ,32.5746775
2001:04:11 09:00:00 ,32.58018277
2001:04:11 12:00:00 ,32.59302194
2001:04:11 15:00:00 ,32.58960084
2001:04:11 18:00:00 ,32.58343305
2001:04:11 21:00:00 ,32.57768651
2001:04:12 00:00:00 ,32.57691639
2001:04:12 03:00:00 ,32.57733305
2001:04:12 06:00:00 ,32.58089642
2001:04:12 09:00:00 ,32.57375527
2001:04:12 12:00:00 ,32.57361299
2001:04:12 15:00:00 ,32.57911639
2001:04:12 18:00:00 ,32.58230236
2001:04:12 21:00:00 ,32.57668214
2001:04:13 00:00:00 ,32.56535527
2001:04:13 03:00:00 ,32.57104746
2001:04:13 06:00:00 ,32.58357194
2001:04:13 09:00:00 ,32.57348861
2001:04:13 12:00:00 ,32.57781937
2001:04:13 15:00:00 ,32.57177194
2001:04:13 18:00:00 ,32.59388015
2001:04:13 21:00:00 ,32.59602194
2001:04:14 00:00:00 ,32.60611638
2001:04:14 03:00:00 ,32.60367676
2001:04:14 06:00:00 ,32.62278305
2001:04:14 09:00:00 ,32.65168906
2001:04:14 12:00:00 ,32.63999972
2001:04:14 15:00:00 ,32.61889972
2001:04:14 18:00:00 ,32.60473704
